event_id,recording_id,audio_relative_path,label_mode,raw_class_label,class_id,onset_s,offset_s,source_start_fraction,source_end_fraction,source_event_length_s,source_row
datased:monophonic:000020,S-0005,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0005.wav,monophonic,Jet aircrafts,jet_aircrafts,132.91,230.91,0.57,0.99,98.0,21
datased:monophonic:000021,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Vehicle pass-by,vehicle_pass_by,0.38,7.31,0.0,0.07,6.93,22
datased:monophonic:000022,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Vehicle pass-by,vehicle_pass_by,12.97,16.08,0.13,0.16,3.11,23
datased:monophonic:000023,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Horn,horn,16.37,17.16,0.16,0.17,0.79,24
datased:monophonic:000024,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Vehicle pass-by,vehicle_pass_by,19.05,21.78,0.19,0.22,2.74,25
datased:monophonic:000025,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Vehicle pass-by,vehicle_pass_by,21.9,30.47,0.22,0.3,8.56,26
datased:monophonic:000026,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Vehicle pass-by,vehicle_pass_by,30.57,34.16,0.3,0.34,3.59,27
datased:monophonic:000027,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,34.16,35.66,0.34,0.35,1.5,28
datased:monophonic:000028,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Voices,voices,36.41,39.62,0.36,0.39,3.21,29
datased:monophonic:000029,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Vehicle pass-by,vehicle_pass_by,39.73,45.67,0.4,0.45,5.94,30
datased:monophonic:000030,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Horn,horn,46.58,47.11,0.46,0.47,0.54,31
datased:monophonic:000031,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Vehicle pass-by,vehicle_pass_by,47.38,55.73,0.47,0.55,8.35,32
datased:monophonic:000032,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Voices,voices,56.16,56.87,0.56,0.57,0.71,33
datased:monophonic:000033,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Horn,horn,56.96,57.61,0.57,0.57,0.64,34
datased:monophonic:000034,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Horn,horn,58.14,58.84,0.58,0.59,0.7,35
datased:monophonic:000035,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Vehicle pass-by,vehicle_pass_by,59.28,65.9,0.59,0.66,6.62,36
datased:monophonic:000036,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Horn,horn,66.01,66.82,0.66,0.67,0.81,37
datased:monophonic:000037,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Horn,horn,66.87,68.53,0.67,0.68,1.66,38
datased:monophonic:000038,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Vehicle pass-by,vehicle_pass_by,68.53,72.75,0.68,0.72,4.23,39
datased:monophonic:000039,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Horn,horn,72.86,73.72,0.73,0.73,0.86,40
datased:monophonic:000040,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Vehicle pass-by,vehicle_pass_by,73.82,77.41,0.73,0.77,3.59,41
datased:monophonic:000041,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Vehicle pass-by,vehicle_pass_by,77.57,84.58,0.77,0.84,7.01,42
datased:monophonic:000042,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Vehicle pass-by,vehicle_pass_by,88.17,90.43,0.88,0.9,2.26,43
datased:monophonic:000043,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Horn,horn,91.01,91.76,0.91,0.91,0.75,44
datased:monophonic:000044,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Vehicle pass-by,vehicle_pass_by,91.94,93.52,0.92,0.93,1.58,45
datased:monophonic:000045,S-0006,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0006.wav,monophonic,Voices,voices,94.27,99.89,0.94,0.99,5.62,46
datased:monophonic:000046,S-0007,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0007.wav,monophonic,Voices,voices,0.0,4.83,0.0,0.29,4.83,47
datased:monophonic:000047,S-0007,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0007.wav,monophonic,Vehicle pass-by,vehicle_pass_by,4.85,8.79,0.29,0.52,3.94,48
datased:monophonic:000048,S-0007,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0007.wav,monophonic,Vehicle pass-by,vehicle_pass_by,9.09,11.72,0.54,0.7,2.62,49
datased:monophonic:000049,S-0007,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0007.wav,monophonic,Vehicle pass-by,vehicle_pass_by,12.83,16.78,0.76,1.0,3.95,50
datased:monophonic:000050,S-0008,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0008.wav,monophonic,Voices,voices,0.77,2.9,0.02,0.06,2.13,51
datased:monophonic:000051,S-0008,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0008.wav,monophonic,Vehicle pass-by,vehicle_pass_by,5.14,9.96,0.11,0.21,4.82,52
datased:monophonic:000052,S-0008,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0008.wav,monophonic,Vehicle pass-by,vehicle_pass_by,10.02,14.07,0.21,0.3,4.06,53
datased:monophonic:000053,S-0008,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0008.wav,monophonic,Vehicle pass-by,vehicle_pass_by,18.27,21.87,0.39,0.47,3.6,54
datased:monophonic:000054,S-0008,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0008.wav,monophonic,Voices,voices,22.01,23.86,0.47,0.51,1.84,55
datased:monophonic:000055,S-0008,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0008.wav,monophonic,Workshop,workshop,23.94,29.13,0.51,0.62,5.19,56
datased:monophonic:000056,S-0008,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0008.wav,monophonic,Workshop,workshop,30.75,38.35,0.66,0.82,7.6,57
datased:monophonic:000057,S-0008,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0008.wav,monophonic,Vehicle pass-by,vehicle_pass_by,39.25,44.33,0.84,0.95,5.08,58
datased:monophonic:000058,S-0008,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0008.wav,monophonic,Horn,horn,45.78,46.32,0.98,0.99,0.54,59
datased:monophonic:000059,S-0009,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0009.wav,monophonic,Thunder fireworks and gunshot,thunder_fireworks_gunshot,0.85,10.72,0.01,0.09,9.87,60
datased:monophonic:000060,S-0009,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0009.wav,monophonic,Birds,birds,10.79,22.58,0.09,0.18,11.79,61
datased:monophonic:000061,S-0009,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0009.wav,monophonic,Thunder fireworks and gunshot,thunder_fireworks_gunshot,23.55,35.24,0.19,0.28,11.69,62
datased:monophonic:000062,S-0009,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0009.wav,monophonic,Vehicle pass-by,vehicle_pass_by,37.98,61.89,0.3,0.49,23.92,63
datased:monophonic:000063,S-0009,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0009.wav,monophonic,Birds,birds,62.22,72.25,0.5,0.58,10.04,64
datased:monophonic:000064,S-0009,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0009.wav,monophonic,Thunder fireworks and gunshot,thunder_fireworks_gunshot,74.8,100.46,0.6,0.8,25.66,65
datased:monophonic:000065,S-0009,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0009.wav,monophonic,Birds,birds,100.48,106.63,0.8,0.85,6.15,66
datased:monophonic:000066,S-0009,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0009.wav,monophonic,Thunder fireworks and gunshot,thunder_fireworks_gunshot,107.68,122.4,0.86,0.98,14.73,67
datased:monophonic:000067,S-0010,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0010.wav,monophonic,Thunder fireworks and gunshot,thunder_fireworks_gunshot,0.0,20.51,0.0,0.24,20.51,68
datased:monophonic:000068,S-0010,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0010.wav,monophonic,Birds,birds,22.07,32.1,0.26,0.38,10.03,69
datased:monophonic:000069,S-0010,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0010.wav,monophonic,Thunder fireworks and gunshot,thunder_fireworks_gunshot,32.5,43.92,0.39,0.52,11.42,70
datased:monophonic:000070,S-0010,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0010.wav,monophonic,Thunder fireworks and gunshot,thunder_fireworks_gunshot,44.99,49.63,0.53,0.59,4.64,71
datased:monophonic:000071,S-0010,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0010.wav,monophonic,Thunder fireworks and gunshot,thunder_fireworks_gunshot,55.24,63.56,0.66,0.75,8.31,72
datased:monophonic:000072,S-0010,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0010.wav,monophonic,Birds,birds,64.2,67.21,0.76,0.8,3.01,73
datased:monophonic:000073,S-0010,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0010.wav,monophonic,Vehicle pass-by,vehicle_pass_by,68.21,84.26,0.81,1.0,16.05,74
datased:monophonic:000074,S-0011,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0011.wav,monophonic,Voices,voices,0.0,11.99,0.0,0.14,11.99,75
datased:monophonic:000075,S-0011,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0011.wav,monophonic,Horn,horn,12.47,13.11,0.14,0.15,0.64,76
datased:monophonic:000076,S-0011,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0011.wav,monophonic,Voices,voices,13.2,20.24,0.15,0.23,7.04,77
datased:monophonic:000077,S-0011,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0011.wav,monophonic,Horn,horn,20.3,29.41,0.23,0.33,9.11,78
datased:monophonic:000078,S-0011,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0011.wav,monophonic,Voices,voices,29.57,35.2,0.34,0.4,5.63,79
datased:monophonic:000079,S-0011,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0011.wav,monophonic,Horn,horn,36.07,38.95,0.41,0.44,2.88,80
datased:monophonic:000080,S-0011,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0011.wav,monophonic,Voices,voices,39.6,48.4,0.45,0.55,8.8,81
datased:monophonic:000081,S-0011,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0011.wav,monophonic,Horn,horn,48.48,49.38,0.55,0.56,0.91,82
datased:monophonic:000082,S-0011,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0011.wav,monophonic,Horn,horn,50.77,52.47,0.58,0.6,1.7,83
datased:monophonic:000083,S-0011,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0011.wav,monophonic,Voices,voices,52.8,56.32,0.6,0.64,3.52,84
datased:monophonic:000084,S-0011,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0011.wav,monophonic,Horn,horn,57.11,57.8,0.65,0.66,0.69,85
datased:monophonic:000085,S-0011,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0011.wav,monophonic,Horn,horn,59.93,64.4,0.68,0.73,4.47,86
datased:monophonic:000086,S-0011,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0011.wav,monophonic,Horn,horn,64.94,65.9,0.74,0.75,0.96,87
datased:monophonic:000087,S-0011,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0011.wav,monophonic,Voices,voices,66.0,73.04,0.75,0.83,7.04,88
datased:monophonic:000088,S-0011,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0011.wav,monophonic,Horn,horn,73.67,76.97,0.84,0.87,3.3,89
datased:monophonic:000089,S-0011,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0011.wav,monophonic,Horn,horn,79.11,88.0,0.9,1.0,8.89,90
datased:monophonic:000090,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,0.0,0.84,0.0,0.01,0.84,91
datased:monophonic:000091,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Birds,birds,0.92,1.62,0.01,0.02,0.7,92
datased:monophonic:000092,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,1.84,2.79,0.02,0.03,0.94,93
datased:monophonic:000093,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Birds,birds,3.07,3.87,0.03,0.04,0.81,94
datased:monophonic:000094,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,3.9,4.9,0.04,0.05,1.0,95
datased:monophonic:000095,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,6.17,6.79,0.07,0.07,0.61,96
datased:monophonic:000096,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Thunder fireworks and gunshot,thunder_fireworks_gunshot,6.8,8.9,0.07,0.1,2.1,97
datased:monophonic:000097,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,9.01,9.45,0.1,0.1,0.44,98
datased:monophonic:000098,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,11.39,12.12,0.12,0.13,0.72,99
datased:monophonic:000099,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Thunder fireworks and gunshot,thunder_fireworks_gunshot,12.2,23.0,0.13,0.25,10.8,100
datased:monophonic:000100,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Birds,birds,23.09,27.0,0.25,0.29,3.91,101
datased:monophonic:000101,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Vehicle pass-by,vehicle_pass_by,29.88,41.21,0.33,0.45,11.33,102
datased:monophonic:000102,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Birds,birds,42.15,45.87,0.46,0.5,3.71,103
datased:monophonic:000103,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,46.32,47.93,0.5,0.52,1.61,104
datased:monophonic:000104,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,52.04,53.04,0.57,0.58,1.0,105
datased:monophonic:000105,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,55.92,56.64,0.61,0.62,0.72,106
datased:monophonic:000106,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,57.37,58.37,0.63,0.64,1.0,107
datased:monophonic:000107,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Thunder fireworks and gunshot,thunder_fireworks_gunshot,60.53,78.63,0.66,0.86,18.1,108
datased:monophonic:000108,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,78.69,79.3,0.86,0.86,0.61,109
datased:monophonic:000109,S-0012,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0012.wav,monophonic,Birds,birds,85.46,86.79,0.93,0.95,1.33,110
datased:monophonic:000110,S-0013,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0013.wav,monophonic,Birds,birds,0.0,6.58,0.0,0.04,6.58,111
datased:monophonic:000111,S-0013,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0013.wav,monophonic,Propeller aircrafts,propeller_aircrafts,12.2,104.81,0.08,0.68,92.61,112
datased:monophonic:000112,S-0013,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0013.wav,monophonic,Vehicle pass-by,vehicle_pass_by,127.4,137.43,0.82,0.89,10.03,113
datased:monophonic:000113,S-0013,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0013.wav,monophonic,Jet aircrafts,jet_aircrafts,137.43,141.18,0.89,0.91,3.75,114
datased:monophonic:000114,S-0013,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0013.wav,monophonic,Birds,birds,141.24,150.18,0.91,0.97,8.94,115
datased:monophonic:000115,S-0014,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0014.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,0.0,3.42,0.0,0.05,3.42,116
datased:monophonic:000116,S-0014,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0014.wav,monophonic,Vehicle pass-by,vehicle_pass_by,3.98,10.59,0.06,0.16,6.62,117
datased:monophonic:000117,S-0014,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0014.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,10.82,11.35,0.16,0.17,0.53,118
datased:monophonic:000118,S-0014,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0014.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,12.59,13.24,0.19,0.2,0.66,119
datased:monophonic:000119,S-0014,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0014.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,13.57,45.55,0.2,0.67,31.98,120
datased:monophonic:000120,S-0014,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0014.wav,monophonic,Vehicle pass-by,vehicle_pass_by,46.18,52.29,0.68,0.77,6.11,121
datased:monophonic:000121,S-0014,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0014.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,52.36,67.92,0.77,1.0,15.55,122
datased:monophonic:000122,S-0015,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0015.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,0.0,5.92,0.0,0.07,5.92,123
datased:monophonic:000123,S-0015,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0015.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,6.27,15.28,0.08,0.18,9.01,124
datased:monophonic:000124,S-0015,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0015.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,16.09,19.59,0.19,0.24,3.51,125
datased:monophonic:000125,S-0015,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0015.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,21.49,22.65,0.26,0.27,1.15,126
datased:monophonic:000126,S-0015,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0015.wav,monophonic,Vehicle idling,vehicle_idling,23.1,46.34,0.28,0.56,23.24,127
datased:monophonic:000127,S-0015,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0015.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,46.58,58.85,0.56,0.71,12.27,128
datased:monophonic:000128,S-0015,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0015.wav,monophonic,Crows seagulls and magpies,crows_seagulls_magpies,60.11,61.11,0.73,0.74,1.0,129
datased:monophonic:000129,S-0015,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0015.wav,monophonic,Vehicle idling,vehicle_idling,61.23,72.57,0.74,0.88,11.34,130
datased:monophonic:000130,S-0015,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0015.wav,monophonic,Vehicle pass-by,vehicle_pass_by,72.58,82.74,0.88,1.0,10.17,131
datased:monophonic:000131,S-0016,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0016.wav,monophonic,Birds,birds,0.04,12.77,0.0,0.21,12.73,132
datased:monophonic:000132,S-0016,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0016.wav,monophonic,Workshop,workshop,13.37,14.29,0.22,0.23,0.92,133
datased:monophonic:000133,S-0016,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0016.wav,monophonic,Workshop,workshop,16.68,18.27,0.27,0.3,1.58,134
datased:monophonic:000134,S-0016,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0016.wav,monophonic,Birds,birds,18.55,23.72,0.31,0.39,5.17,135
datased:monophonic:000135,S-0016,DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0016.wav,monophonic,Vehicle idling,vehicle_idling,23.75,60.83,0.39,1.0,37.07,136
