recording_id,leakage_group,split
S-0126,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0126.wav,test
S-0127,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0127.wav,train
S-0128,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0128.wav,train
S-0129,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0129.wav,train
S-0130,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0126.wav,test
S-0131,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0131.wav,train
S-0132,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0114.wav,train
S-0133,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0133.wav,validation
S-0134,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0134.wav,train
S-0135,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0135.wav,test
S-0136,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0136.wav,validation
S-0137,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0137.wav,train
S-0138,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0138.wav,train
S-0139,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0139.wav,train
S-0140,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0140.wav,train
S-0141,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0141.wav,train
S-0142,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0142.wav,train
S-0143,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0143.wav,validation
S-0144,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0144.wav,train
S-0145,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0121.wav,train
S-0146,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0146.wav,train
S-0147,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0147.wav,train
S-0148,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0148.wav,train
S-0149,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0149.wav,test
S-0150,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0150.wav,train
S-0151,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0151.wav,train
S-0152,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0152.wav,train
S-0153,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0153.wav,train
S-0154,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0154.wav,train
S-0155,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0155.wav,validation
S-0156,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0156.wav,validation
S-0157,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0157.wav,train
S-0158,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0158.wav,train
S-0159,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0159.wav,test
S-0160,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0160.wav,train
S-0161,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0161.wav,test
S-0162,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0162.wav,train
S-0163,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0163.wav,train
S-0164,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0164.wav,test
S-0165,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0165.wav,train
S-0166,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0166.wav,train
S-0167,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0167.wav,test
S-0168,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0168.wav,train
S-0169,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0169.wav,train
S-0170,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0170.wav,validation
S-0171,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0171.wav,train
S-0172,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0172.wav,train
S-0173,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0173.wav,validation
S-0174,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0174.wav,validation
S-0175,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0175.wav,test
S-0176,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0176.wav,test
S-0177,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0177.wav,test
S-0178,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0178.wav,train
S-0179,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0179.wav,train
S-0180,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0121.wav,train
S-0181,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0120.wav,train
S-0182,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0182.wav,train
S-0183,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0183.wav,test
S-0184,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0184.wav,train
S-0185,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0185.wav,test
S-0186,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0186.wav,test
S-0187,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0187.wav,train
S-0188,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0188.wav,test
S-0189,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0189.wav,train
S-0190,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0190.wav,train
S-0191,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0191.wav,test
S-0192,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0192.wav,train
S-0193,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0193.wav,validation
S-0194,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0194.wav,train
S-0195,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0195.wav,train
S-0196,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0196.wav,test
S-0197,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0197.wav,train
S-0198,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0062.wav,test
S-0199,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0199.wav,train
S-0200,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0200.wav,train
S-0201,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0201.wav,train
S-0202,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0202.wav,train
S-0203,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0203.wav,test
S-0204,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0204.wav,train
S-0205,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0205.wav,validation
S-0206,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0206.wav,train
S-0207,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0207.wav,train
S-0208,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0208.wav,train
S-0209,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0209.wav,train
S-0210,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0210.wav,train
S-0211,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0211.wav,train
S-0212,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0212.wav,train
S-0213,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0213.wav,train
S-0214,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0214.wav,train
S-0215,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0215.wav,test
S-0216,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0216.wav,validation
S-0217,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0217.wav,validation
S-0218,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0218.wav,train
S-0219,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0219.wav,train
S-0220,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0220.wav,train
S-0221,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0221.wav,validation
S-0222,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0222.wav,test
S-0223,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0223.wav,train
S-0224,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0224.wav,train
S-0225,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0225.wav,train
S-0226,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0226.wav,train
S-0227,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0227.wav,validation
S-0228,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0228.wav,validation
S-0229,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0229.wav,train
S-0230,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0230.wav,test
S-0231,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0231.wav,train
S-0232,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0232.wav,train
S-0233,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0233.wav,validation
S-0234,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0234.wav,train
S-0235,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0235.wav,train
S-0236,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0236.wav,validation
S-0237,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0233.wav,validation
S-0238,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0238.wav,train
S-0239,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0239.wav,train
S-0240,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0240.wav,train
S-0241,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0241.wav,test
S-0242,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0242.wav,train
S-0243,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0243.wav,validation
S-0244,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0244.wav,test
S-0245,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0245.wav,test
S-0246,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0246.wav,train
S-0247,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0247.wav,train
S-0248,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0248.wav,train
S-0249,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0249.wav,train
S-0250,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0250.wav,test
S-0251,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0251.wav,train
S-0252,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0252.wav,train
S-0253,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0253.wav,test
S-0254,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0254.wav,train
S-0255,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0255.wav,train
S-0256,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0256.wav,train
S-0257,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0257.wav,train
