left_file_id,right_file_id,tier,similarity,overlap_s,verdict
datasec:DATASEC/Crows seagulls and magpies/Crows/Crows-0016.wav,datasec:DATASEC/Crows seagulls and magpies/Crows/Crows-0018.wav,T3,0.945943,33.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0072.wav,datasec:DATASEC/Glass breaking/Glass breaking-0075.wav,T3,0.945877,3.000,review
datasec:DATASEC/Bells/Bells-0060.wav,datasec:DATASEC/Bells/Bells-0061.wav,T3,0.945871,3.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0066.wav,datasec:DATASEC/Glass breaking/Glass breaking-0077.wav,T3,0.945786,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0035.wav,datasec:DATASEC/Glass breaking/Glass breaking-0036.wav,T3,0.945656,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0033.wav,datasec:DATASEC/Glass breaking/Glass breaking-0077.wav,T3,0.945530,31.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0058.wav,datasec:DATASEC/Glass breaking/Glass breaking-0059.wav,T3,0.945229,28.000,review
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0053.wav,datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0054.wav,T3,0.945179,9.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0044.wav,datasec:DATASEC/Glass breaking/Glass breaking-0055.wav,T3,0.945061,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0054.wav,datasec:DATASEC/Glass breaking/Glass breaking-0058.wav,T3,0.945052,3.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0038.wav,datasec:DATASEC/Glass breaking/Glass breaking-0039.wav,T3,0.944898,26.500,review
datasec:DATASEC/Sirens and alarms/Alarms/Alarms-0013.wav,datasec:DATASEC/Sirens and alarms/Alarms/Alarms-0014.wav,T3,0.944812,5.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0061.wav,datasec:DATASEC/Glass breaking/Glass breaking-0064.wav,T3,0.944477,25.000,review
datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0050.wav,datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0051.wav,T3,0.944120,5.500,review
datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0050.wav,datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0052.wav,T3,0.944117,5.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0034.wav,datasec:DATASEC/Glass breaking/Glass breaking-0035.wav,T3,0.943868,28.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0056.wav,datasec:DATASEC/Glass breaking/Glass breaking-0057.wav,T3,0.943770,28.000,review
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0003.wav,datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0056.wav,T3,0.943750,11.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0045.wav,datasec:DATASEC/Glass breaking/Glass breaking-0048.wav,T3,0.943688,25.000,review
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0002.wav,datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0040.wav,T3,0.943580,32.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0067.wav,datasec:DATASEC/Glass breaking/Glass breaking-0070.wav,T3,0.943460,3.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0041.wav,datasec:DATASEC/Glass breaking/Glass breaking-0042.wav,T3,0.943370,26.500,review
datasec:DATASEC/Music/Music-0749.wav,datasec:DATASEC/Music/Music-0782.wav,T3,0.943295,30.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0068.wav,datasec:DATASEC/Glass breaking/Glass breaking-0069.wav,T3,0.942855,28.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0024.wav,datasec:DATASEC/Glass breaking/Glass breaking-0025.wav,T3,0.942742,26.500,review
datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0023.wav,datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0025.wav,T3,0.942448,15.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0057.wav,datasec:DATASEC/Glass breaking/Glass breaking-0058.wav,T3,0.942401,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0043.wav,datasec:DATASEC/Glass breaking/Glass breaking-0047.wav,T3,0.942375,25.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0055.wav,datasec:DATASEC/Glass breaking/Glass breaking-0066.wav,T3,0.942363,28.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0023.wav,datasec:DATASEC/Glass breaking/Glass breaking-0080.wav,T3,0.942294,25.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0033.wav,datasec:DATASEC/Glass breaking/Glass breaking-0066.wav,T3,0.942151,25.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0063.wav,datasec:DATASEC/Glass breaking/Glass breaking-0071.wav,T3,0.942036,22.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0033.wav,datasec:DATASEC/Glass breaking/Glass breaking-0044.wav,T3,0.941768,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0061.wav,datasec:DATASEC/Glass breaking/Glass breaking-0071.wav,T3,0.941742,20.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0063.wav,datasec:DATASEC/Glass breaking/Glass breaking-0064.wav,T3,0.941607,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0061.wav,datasec:DATASEC/Glass breaking/Glass breaking-0069.wav,T3,0.941604,22.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0061.wav,datasec:DATASEC/Glass breaking/Glass breaking-0062.wav,T3,0.941551,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0059.wav,datasec:DATASEC/Glass breaking/Glass breaking-0060.wav,T3,0.941452,26.500,review
datasec:DATASEC/Bells/Bells-0060.wav,datasec:DATASEC/Bells/Bells-0063.wav,T3,0.941414,3.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0065.wav,datasec:DATASEC/Glass breaking/Glass breaking-0071.wav,T3,0.941411,23.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0062.wav,datasec:DATASEC/Glass breaking/Glass breaking-0068.wav,T3,0.941097,31.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0064.wav,datasec:DATASEC/Glass breaking/Glass breaking-0068.wav,T3,0.940985,29.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0049.wav,datasec:DATASEC/Glass breaking/Glass breaking-0050.wav,T3,0.940971,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0080.wav,datasec:DATASEC/Glass breaking/Glass breaking-0081.wav,T3,0.940810,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0039.wav,datasec:DATASEC/Glass breaking/Glass breaking-0040.wav,T3,0.940495,26.500,review
datasec:DATASEC/Cat fights and moans/Cat fights and moans-0009.wav,datasec:DATASEC/Cat fights and moans/Cat fights and moans-0015.wav,T3,0.940357,4.000,review
datasec:DATASEC/Bells/Bells-0062.wav,datasec:DATASEC/Bells/Bells-0063.wav,T3,0.940146,3.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0065.wav,datasec:DATASEC/Glass breaking/Glass breaking-0067.wav,T3,0.940136,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0062.wav,datasec:DATASEC/Glass breaking/Glass breaking-0065.wav,T3,0.940017,29.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0024.wav,datasec:DATASEC/Glass breaking/Glass breaking-0026.wav,T3,0.939836,32.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0062.wav,datasec:DATASEC/Glass breaking/Glass breaking-0063.wav,T3,0.939782,26.500,review
datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0007.wav,datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0012.wav,T3,0.939757,28.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0051.wav,datasec:DATASEC/Glass breaking/Glass breaking-0053.wav,T3,0.939642,32.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0067.wav,datasec:DATASEC/Glass breaking/Glass breaking-0068.wav,T3,0.939501,28.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0064.wav,datasec:DATASEC/Glass breaking/Glass breaking-0065.wav,T3,0.939478,28.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0054.wav,datasec:DATASEC/Glass breaking/Glass breaking-0060.wav,T3,0.938976,23.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0046.wav,datasec:DATASEC/Glass breaking/Glass breaking-0048.wav,T3,0.938568,59.000,review
datasec:DATASEC/Bells/Bells-0035.wav,datasec:DATASEC/Bells/Bells-0036.wav,T3,0.938542,22.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0064.wav,datasec:DATASEC/Glass breaking/Glass breaking-0070.wav,T3,0.938536,31.000,review
datasec:DATASEC/Sirens and alarms/Alarms/Alarms-0004.wav,datasec:DATASEC/Sirens and alarms/Alarms/Alarms-0037.wav,T3,0.938442,3.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0033.wav,datasec:DATASEC/Glass breaking/Glass breaking-0055.wav,T3,0.938169,59.000,review
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0575.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0576.wav,T3,0.937985,103.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0062.wav,datasec:DATASEC/Glass breaking/Glass breaking-0070.wav,T3,0.937887,32.500,review
datasec:DATASEC/Train/Train-0015.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0215.wav,T3,0.937870,14.000,review
datasec:DATASEC/Dog barkings and howlings/Dog barkings and howlings-0021.wav,datasec:DATASEC/Dog barkings and howlings/Dog barkings and howlings-0065.wav,T3,0.937809,11.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0070.wav,datasec:DATASEC/Glass breaking/Glass breaking-0071.wav,T3,0.937737,26.500,review
datasec:DATASEC/Music/Music-0087.wav,datasec:DATASEC/Music/Music-0328.wav,T3,0.937715,5.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0068.wav,datasec:DATASEC/Glass breaking/Glass breaking-0071.wav,T3,0.937654,25.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0037.wav,datasec:DATASEC/Glass breaking/Glass breaking-0038.wav,T3,0.937551,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0071.wav,datasec:DATASEC/Glass breaking/Glass breaking-0076.wav,T3,0.937414,23.500,review
datasec:DATASEC/Voices/Voices-1232.wav,datasec:DATASEC/Voices/Voices-1266.wav,T3,0.937067,3.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0069.wav,datasec:DATASEC/Glass breaking/Glass breaking-0070.wav,T3,0.936903,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0075.wav,datasec:DATASEC/Glass breaking/Glass breaking-0076.wav,T3,0.936430,28.000,review
datasec:DATASEC/Workshop/grinder/grinder-0029.wav,datasec:DATASEC/Workshop/grinder/grinder-0032.wav,T3,0.936306,3.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0037.wav,datasec:DATASEC/Glass breaking/Glass breaking-0040.wav,T3,0.935957,25.000,review
datasec:DATASEC/Workshop/grinder/grinder-0029.wav,datasec:DATASEC/Workshop/grinder/grinder-0031.wav,T3,0.935902,4.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0043.wav,datasec:DATASEC/Glass breaking/Glass breaking-0045.wav,T3,0.935871,26.500,review
datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0024.wav,datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0025.wav,T3,0.935508,5.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0038.wav,datasec:DATASEC/Glass breaking/Glass breaking-0040.wav,T3,0.935475,32.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0080.wav,datasec:DATASEC/Glass breaking/Glass breaking-0082.wav,T3,0.935279,32.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0057.wav,datasec:DATASEC/Glass breaking/Glass breaking-0060.wav,T3,0.933728,25.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0026.wav,datasec:DATASEC/Glass breaking/Glass breaking-0027.wav,T3,0.933506,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0071.wav,datasec:DATASEC/Glass breaking/Glass breaking-0074.wav,T3,0.932503,25.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0072.wav,datasec:DATASEC/Glass breaking/Glass breaking-0073.wav,T3,0.932039,28.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0075.wav,datasec:DATASEC/Glass breaking/Glass breaking-0078.wav,T3,0.931886,59.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0056.wav,datasec:DATASEC/Glass breaking/Glass breaking-0060.wav,T3,0.931391,31.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0076.wav,datasec:DATASEC/Glass breaking/Glass breaking-0078.wav,T3,0.931347,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0073.wav,datasec:DATASEC/Glass breaking/Glass breaking-0078.wav,T3,0.930910,31.000,review
datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0007.wav,datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0009.wav,T3,0.930325,28.000,review
datasec:DATASEC/Bells/Bells-0057.wav,datasec:DATASEC/Bells/Bells-0058.wav,T3,0.930144,6.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0043.wav,datasec:DATASEC/Glass breaking/Glass breaking-0046.wav,T3,0.929745,6.000,review
datasec:DATASEC/Music/Music-0087.wav,datasec:DATASEC/Music/Music-0125.wav,T3,0.929631,4.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0072.wav,datasec:DATASEC/Glass breaking/Glass breaking-0078.wav,T3,0.929076,23.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0074.wav,datasec:DATASEC/Glass breaking/Glass breaking-0075.wav,T3,0.929019,28.000,review
datasec:DATASEC/Music/Music-0877.wav,datasec:DATASEC/Music/Music-0893.wav,T3,0.928939,29.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0074.wav,datasec:DATASEC/Glass breaking/Glass breaking-0078.wav,T3,0.928746,25.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0071.wav,datasec:DATASEC/Glass breaking/Glass breaking-0073.wav,T3,0.928386,6.000,review
datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0020.wav,datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0021.wav,T3,0.928107,7.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0073.wav,datasec:DATASEC/Glass breaking/Glass breaking-0074.wav,T3,0.927767,26.500,review
datasec:DATASEC/Crows seagulls and magpies/Crows/Crows-0016.wav,datasec:DATASEC/Crows seagulls and magpies/Crows/Crows-0019.wav,T3,0.927686,33.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0026.wav,datasec:DATASEC/Glass breaking/Glass breaking-0028.wav,T3,0.927474,6.000,review
datasec:DATASEC/Bells/Bells-0060.wav,datasec:DATASEC/Bells/Bells-0062.wav,T3,0.927372,4.000,review
datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0007.wav,datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0013.wav,T3,0.926539,28.000,review
datasec:DATASEC/Crows seagulls and magpies/Magpies/Magpies-0003.wav,datasec:DATASEC/Crows seagulls and magpies/Magpies/Magpies-0006.wav,T3,0.925057,28.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0071.wav,datasec:DATASEC/Glass breaking/Glass breaking-0075.wav,T3,0.924620,4.500,review
datasec:DATASEC/Sirens and alarms/Sirens/Sirens-0043.wav,datasec:DATASEC/Sirens and alarms/Sirens/Sirens-0068.wav,T3,0.924598,3.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0050.wav,datasec:DATASEC/Glass breaking/Glass breaking-0052.wav,T3,0.924441,6.000,review
datasec:DATASEC/Music/Music-0087.wav,datasec:DATASEC/Music/Music-0361.wav,T3,0.924174,3.000,review
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Lawn mower/Lawn mower-0018.wav,datasec:DATASEC/Lawn mower brush cutter and olive shaker/Olive shaker/Olive shaker-0015.wav,T3,0.924086,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0062.wav,datasec:DATASEC/Glass breaking/Glass breaking-0071.wav,T3,0.923956,28.000,review
datasec:DATASEC/Bells/Bells-0061.wav,datasec:DATASEC/Bells/Bells-0062.wav,T3,0.923946,3.500,review
datasec:DATASEC/Cat fights and moans/Cat fights and moans-0001.wav,datasec:DATASEC/Cat fights and moans/Cat fights and moans-0005.wav,T3,0.923682,18.500,review
datasec:DATASEC/Crows seagulls and magpies/Crows/Crows-0016.wav,datasec:DATASEC/Crows seagulls and magpies/Crows/Crows-0021.wav,T3,0.923245,33.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0071.wav,datasec:DATASEC/Glass breaking/Glass breaking-0072.wav,T3,0.923163,26.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0058.wav,datasec:DATASEC/Glass breaking/Glass breaking-0060.wav,T3,0.922775,32.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0027.wav,datasec:DATASEC/Glass breaking/Glass breaking-0030.wav,T3,0.922049,3.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0034.wav,datasec:DATASEC/Glass breaking/Glass breaking-0039.wav,T3,0.921213,4.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0044.wav,datasec:DATASEC/Glass breaking/Glass breaking-0080.wav,T3,0.921158,4.500,review
datasec:DATASEC/Crows seagulls and magpies/Magpies/Magpies-0008.wav,datasec:DATASEC/Crows seagulls and magpies/Magpies/Magpies-0010.wav,T3,0.921032,42.500,review
datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0007.wav,datasec:DATASEC/Crows seagulls and magpies/Seagulls/Seagulls-0010.wav,T3,0.921006,28.000,review
datasec:DATASEC/Music/Music-0037.wav,datasec:DATASEC/Music/Music-0168.wav,T3,0.920686,3.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0066.wav,datasec:DATASEC/Glass breaking/Glass breaking-0080.wav,T3,0.919891,6.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0032.wav,datasec:DATASEC/Glass breaking/Glass breaking-0035.wav,T3,0.919393,6.000,review
datasec:DATASEC/Music/Music-0893.wav,datasec:DATASEC/Music/Music-0894.wav,T3,0.919082,30.000,review
datasec:DATASEC/Dog barkings and howlings/Dog barkings and howlings-0002.wav,datasec:DATASEC/Dog barkings and howlings/Dog barkings and howlings-0019.wav,T3,0.919017,4.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0043.wav,datasec:DATASEC/Glass breaking/Glass breaking-0048.wav,T3,0.918852,31.000,review
datasec:DATASEC/Chicken coop/Chicken coop-0018.wav,datasec:DATASEC/Chicken coop/Chicken coop-0019.wav,T3,0.918595,3.000,review
datasec:DATASEC/Voices/Voices-1285.wav,datasec:DATASEC/Voices/Voices-1288.wav,T3,0.918529,3.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0067.wav,datasec:DATASEC/Glass breaking/Glass breaking-0071.wav,T3,0.918416,4.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0036.wav,datasec:DATASEC/Glass breaking/Glass breaking-0039.wav,T3,0.918386,3.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0064.wav,datasec:DATASEC/Glass breaking/Glass breaking-0071.wav,T3,0.918115,3.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0038.wav,datasec:DATASEC/Glass breaking/Glass breaking-0041.wav,T3,0.917597,3.000,review
datasec:DATASEC/Voices/Voices-1262.wav,datasec:DATASEC/Voices/Voices-1266.wav,T3,0.917028,3.000,review
datasec:DATASEC/Vehicle idling/motorbike idling/motorbike idling-0015.wav,datasec:DATASEC/Vehicle idling/motorbike idling/motorbike idling-0016.wav,T3,0.916108,4.500,review
datasec:DATASEC/Cicadas and crickets/Crickets/Crickets-0003.wav,datasec:DATASEC/Cicadas and crickets/Crickets/Crickets-0004.wav,T3,0.915493,6.500,review
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0003.wav,datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0057.wav,T3,0.915324,7.000,review
datasec:DATASEC/Sirens and alarms/Sirens/Sirens-0044.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0315.wav,T3,0.915241,40.500,review
datasec:DATASEC/Music/Music-0110.wav,datasec:DATASEC/Music/Music-0120.wav,T3,0.914302,4.500,review
datasec:DATASEC/Voices/Voices-0342.wav,datasec:DATASEC/Voices/Voices-1262.wav,T3,0.914268,3.000,review
datasec:DATASEC/Dog barkings and howlings/Dog barkings and howlings-0046.wav,datasec:DATASEC/Dog barkings and howlings/Dog barkings and howlings-0066.wav,T3,0.914186,3.000,review
datasec:DATASEC/Music/Music-0120.wav,datasec:DATASEC/Music/Music-0234.wav,T3,0.914074,5.500,review
datasec:DATASEC/Glass breaking/Glass breaking-0048.wav,datasec:DATASEC/Glass breaking/Glass breaking-0050.wav,T3,0.913906,6.000,review
datasec:DATASEC/Sirens and alarms/Alarms/Alarms-0003.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0632.wav,T3,0.913344,10.000,review
datasec:DATASEC/Voices/Voices-1278.wav,datasec:DATASEC/Voices/Voices-1288.wav,T3,0.912733,3.500,review
datasec:DATASEC/Sirens and alarms/Sirens/Sirens-0042.wav,datasec:DATASEC/Sirens and alarms/Sirens/Sirens-0068.wav,T3,0.912693,5.000,review
datasec:DATASEC/Crows seagulls and magpies/Crows/Crows-0016.wav,datasec:DATASEC/Crows seagulls and magpies/Crows/Crows-0020.wav,T3,0.912664,33.500,review
datasec:DATASEC/Voices/Voices-1250.wav,datasec:DATASEC/Voices/Voices-1267.wav,T3,0.912600,3.000,review
datasec:DATASEC/Voices/Voices-1288.wav,datasec:DATASEC/Voices/Voices-1337.wav,T3,0.912282,3.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0053.wav,datasec:DATASEC/Glass breaking/Glass breaking-0056.wav,T3,0.912230,6.000,review
datasec:DATASEC/Vehicle idling/motorbike idling/motorbike idling-0015.wav,datasec:DATASEC/Vehicle idling/motorbike idling/motorbike idling-0017.wav,T3,0.911583,3.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0048.wav,datasec:DATASEC/Glass breaking/Glass breaking-0049.wav,T3,0.911412,26.500,review
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0025.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0027.wav,T3,0.910812,12.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0026.wav,datasec:DATASEC/Glass breaking/Glass breaking-0049.wav,T3,0.910498,3.500,review
datasec:DATASEC/Cicadas and crickets/Crickets/Crickets-0001.wav,datasec:DATASEC/Cicadas and crickets/Crickets/Crickets-0003.wav,T3,0.910215,10.000,review
datasec:DATASEC/Music/Music-0037.wav,datasec:DATASEC/Music/Music-0110.wav,T3,0.909824,3.000,review
datasec:DATASEC/Bells/Bells-0024.wav,datasec:DATASEC/Bells/Bells-0026.wav,T3,0.909741,5.500,review
datasec:DATASEC/Bells/Bells-0025.wav,datasec:DATASEC/Bells/Bells-0026.wav,T3,0.909236,11.500,review
datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0026.wav,datasec:DATASEC/Cicadas and crickets/Cicadas/Cicadas-0031.wav,T3,0.909108,5.500,review
datasec:DATASEC/Sirens and alarms/Sirens/Sirens-0030.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0319.wav,T3,0.908990,5.000,review
datasec:DATASEC/Glass breaking/Glass breaking-0071.wav,datasec:DATASEC/Glass breaking/Glass breaking-0078.wav,T3,0.908899,3.000,review
datasec:DATASEC/Music/Music-0882.wav,datasec:DATASEC/Music/Music-0883.wav,T3,0.908620,29.000,review
