left_file_id,right_file_id
datasec:DATASEC/Glass breaking/Glass breaking-0026.wav,datasec:DATASEC/Glass breaking/Glass breaking-0029.wav
datasec:DATASEC/Glass breaking/Glass breaking-0027.wav,datasec:DATASEC/Glass breaking/Glass breaking-0028.wav
datasec:DATASEC/Glass breaking/Glass breaking-0031.wav,datasec:DATASEC/Glass breaking/Glass breaking-0032.wav
datasec:DATASEC/Glass breaking/Glass breaking-0033.wav,datasec:DATASEC/Glass breaking/Glass breaking-0044.wav
datasec:DATASEC/Glass breaking/Glass breaking-0033.wav,datasec:DATASEC/Glass breaking/Glass breaking-0055.wav
datasec:DATASEC/Glass breaking/Glass breaking-0033.wav,datasec:DATASEC/Glass breaking/Glass breaking-0066.wav
datasec:DATASEC/Glass breaking/Glass breaking-0033.wav,datasec:DATASEC/Glass breaking/Glass breaking-0077.wav
datasec:DATASEC/Glass breaking/Glass breaking-0034.wav,datasec:DATASEC/Glass breaking/Glass breaking-0035.wav
datasec:DATASEC/Glass breaking/Glass breaking-0035.wav,datasec:DATASEC/Glass breaking/Glass breaking-0036.wav
datasec:DATASEC/Glass breaking/Glass breaking-0037.wav,datasec:DATASEC/Glass breaking/Glass breaking-0038.wav
datasec:DATASEC/Glass breaking/Glass breaking-0037.wav,datasec:DATASEC/Glass breaking/Glass breaking-0039.wav
datasec:DATASEC/Glass breaking/Glass breaking-0037.wav,datasec:DATASEC/Glass breaking/Glass breaking-0040.wav
datasec:DATASEC/Glass breaking/Glass breaking-0038.wav,datasec:DATASEC/Glass breaking/Glass breaking-0039.wav
datasec:DATASEC/Glass breaking/Glass breaking-0038.wav,datasec:DATASEC/Glass breaking/Glass breaking-0040.wav
datasec:DATASEC/Glass breaking/Glass breaking-0039.wav,datasec:DATASEC/Glass breaking/Glass breaking-0040.wav
datasec:DATASEC/Glass breaking/Glass breaking-0041.wav,datasec:DATASEC/Glass breaking/Glass breaking-0042.wav
datasec:DATASEC/Glass breaking/Glass breaking-0043.wav,datasec:DATASEC/Glass breaking/Glass breaking-0045.wav
datasec:DATASEC/Glass breaking/Glass breaking-0043.wav,datasec:DATASEC/Glass breaking/Glass breaking-0047.wav
datasec:DATASEC/Glass breaking/Glass breaking-0044.wav,datasec:DATASEC/Glass breaking/Glass breaking-0055.wav
datasec:DATASEC/Glass breaking/Glass breaking-0045.wav,datasec:DATASEC/Glass breaking/Glass breaking-0046.wav
datasec:DATASEC/Glass breaking/Glass breaking-0045.wav,datasec:DATASEC/Glass breaking/Glass breaking-0048.wav
datasec:DATASEC/Glass breaking/Glass breaking-0046.wav,datasec:DATASEC/Glass breaking/Glass breaking-0047.wav
datasec:DATASEC/Glass breaking/Glass breaking-0046.wav,datasec:DATASEC/Glass breaking/Glass breaking-0048.wav
datasec:DATASEC/Glass breaking/Glass breaking-0047.wav,datasec:DATASEC/Glass breaking/Glass breaking-0048.wav
datasec:DATASEC/Glass breaking/Glass breaking-0049.wav,datasec:DATASEC/Glass breaking/Glass breaking-0050.wav
datasec:DATASEC/Glass breaking/Glass breaking-0051.wav,datasec:DATASEC/Glass breaking/Glass breaking-0052.wav
datasec:DATASEC/Glass breaking/Glass breaking-0051.wav,datasec:DATASEC/Glass breaking/Glass breaking-0053.wav
datasec:DATASEC/Glass breaking/Glass breaking-0052.wav,datasec:DATASEC/Glass breaking/Glass breaking-0053.wav
datasec:DATASEC/Glass breaking/Glass breaking-0054.wav,datasec:DATASEC/Glass breaking/Glass breaking-0056.wav
datasec:DATASEC/Glass breaking/Glass breaking-0054.wav,datasec:DATASEC/Glass breaking/Glass breaking-0058.wav
datasec:DATASEC/Glass breaking/Glass breaking-0054.wav,datasec:DATASEC/Glass breaking/Glass breaking-0060.wav
datasec:DATASEC/Glass breaking/Glass breaking-0055.wav,datasec:DATASEC/Glass breaking/Glass breaking-0066.wav
datasec:DATASEC/Glass breaking/Glass breaking-0056.wav,datasec:DATASEC/Glass breaking/Glass breaking-0057.wav
datasec:DATASEC/Glass breaking/Glass breaking-0056.wav,datasec:DATASEC/Glass breaking/Glass breaking-0060.wav
datasec:DATASEC/Glass breaking/Glass breaking-0057.wav,datasec:DATASEC/Glass breaking/Glass breaking-0058.wav
datasec:DATASEC/Glass breaking/Glass breaking-0057.wav,datasec:DATASEC/Glass breaking/Glass breaking-0060.wav
datasec:DATASEC/Glass breaking/Glass breaking-0058.wav,datasec:DATASEC/Glass breaking/Glass breaking-0059.wav
datasec:DATASEC/Glass breaking/Glass breaking-0059.wav,datasec:DATASEC/Glass breaking/Glass breaking-0060.wav
datasec:DATASEC/Glass breaking/Glass breaking-0061.wav,datasec:DATASEC/Glass breaking/Glass breaking-0062.wav
datasec:DATASEC/Glass breaking/Glass breaking-0061.wav,datasec:DATASEC/Glass breaking/Glass breaking-0064.wav
datasec:DATASEC/Glass breaking/Glass breaking-0061.wav,datasec:DATASEC/Glass breaking/Glass breaking-0067.wav
datasec:DATASEC/Glass breaking/Glass breaking-0061.wav,datasec:DATASEC/Glass breaking/Glass breaking-0069.wav
datasec:DATASEC/Glass breaking/Glass breaking-0061.wav,datasec:DATASEC/Glass breaking/Glass breaking-0071.wav
datasec:DATASEC/Glass breaking/Glass breaking-0062.wav,datasec:DATASEC/Glass breaking/Glass breaking-0063.wav
datasec:DATASEC/Glass breaking/Glass breaking-0062.wav,datasec:DATASEC/Glass breaking/Glass breaking-0065.wav
datasec:DATASEC/Glass breaking/Glass breaking-0062.wav,datasec:DATASEC/Glass breaking/Glass breaking-0068.wav
datasec:DATASEC/Glass breaking/Glass breaking-0062.wav,datasec:DATASEC/Glass breaking/Glass breaking-0070.wav
datasec:DATASEC/Glass breaking/Glass breaking-0063.wav,datasec:DATASEC/Glass breaking/Glass breaking-0064.wav
datasec:DATASEC/Glass breaking/Glass breaking-0063.wav,datasec:DATASEC/Glass breaking/Glass breaking-0071.wav
datasec:DATASEC/Glass breaking/Glass breaking-0064.wav,datasec:DATASEC/Glass breaking/Glass breaking-0065.wav
datasec:DATASEC/Glass breaking/Glass breaking-0064.wav,datasec:DATASEC/Glass breaking/Glass breaking-0068.wav
datasec:DATASEC/Glass breaking/Glass breaking-0064.wav,datasec:DATASEC/Glass breaking/Glass breaking-0070.wav
datasec:DATASEC/Glass breaking/Glass breaking-0065.wav,datasec:DATASEC/Glass breaking/Glass breaking-0067.wav
datasec:DATASEC/Glass breaking/Glass breaking-0065.wav,datasec:DATASEC/Glass breaking/Glass breaking-0071.wav
datasec:DATASEC/Glass breaking/Glass breaking-0066.wav,datasec:DATASEC/Glass breaking/Glass breaking-0077.wav
datasec:DATASEC/Glass breaking/Glass breaking-0067.wav,datasec:DATASEC/Glass breaking/Glass breaking-0068.wav
datasec:DATASEC/Glass breaking/Glass breaking-0067.wav,datasec:DATASEC/Glass breaking/Glass breaking-0070.wav
datasec:DATASEC/Glass breaking/Glass breaking-0068.wav,datasec:DATASEC/Glass breaking/Glass breaking-0069.wav
datasec:DATASEC/Glass breaking/Glass breaking-0068.wav,datasec:DATASEC/Glass breaking/Glass breaking-0071.wav
datasec:DATASEC/Glass breaking/Glass breaking-0069.wav,datasec:DATASEC/Glass breaking/Glass breaking-0070.wav
datasec:DATASEC/Glass breaking/Glass breaking-0070.wav,datasec:DATASEC/Glass breaking/Glass breaking-0071.wav
datasec:DATASEC/Glass breaking/Glass breaking-0071.wav,datasec:DATASEC/Glass breaking/Glass breaking-0074.wav
datasec:DATASEC/Glass breaking/Glass breaking-0071.wav,datasec:DATASEC/Glass breaking/Glass breaking-0076.wav
datasec:DATASEC/Glass breaking/Glass breaking-0072.wav,datasec:DATASEC/Glass breaking/Glass breaking-0073.wav
datasec:DATASEC/Glass breaking/Glass breaking-0072.wav,datasec:DATASEC/Glass breaking/Glass breaking-0075.wav
datasec:DATASEC/Glass breaking/Glass breaking-0073.wav,datasec:DATASEC/Glass breaking/Glass breaking-0078.wav
datasec:DATASEC/Glass breaking/Glass breaking-0075.wav,datasec:DATASEC/Glass breaking/Glass breaking-0076.wav
datasec:DATASEC/Glass breaking/Glass breaking-0075.wav,datasec:DATASEC/Glass breaking/Glass breaking-0078.wav
datasec:DATASEC/Glass breaking/Glass breaking-0076.wav,datasec:DATASEC/Glass breaking/Glass breaking-0078.wav
datasec:DATASEC/Glass breaking/Glass breaking-0080.wav,datasec:DATASEC/Glass breaking/Glass breaking-0081.wav
datasec:DATASEC/Glass breaking/Glass breaking-0080.wav,datasec:DATASEC/Glass breaking/Glass breaking-0082.wav
datasec:DATASEC/Glass breaking/Glass breaking-0081.wav,datasec:DATASEC/Glass breaking/Glass breaking-0082.wav
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0002.wav,datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0040.wav
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0003.wav,datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0056.wav
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0003.wav,datasec:DATASEC/Lawn mower brush cutter and olive shaker/Olive shaker/Olive shaker-0012.wav
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0052.wav,datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0054.wav
datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0053.wav,datasec:DATASEC/Lawn mower brush cutter and olive shaker/Brush cutter/Brush cutter-0054.wav
datasec:DATASEC/Music/Music-0087.wav,datasec:DATASEC/Music/Music-0328.wav
datasec:DATASEC/Music/Music-0749.wav,datasec:DATASEC/Music/Music-0782.wav
datasec:DATASEC/Sirens and alarms/Alarms/Alarms-0004.wav,datasec:DATASEC/Sirens and alarms/Alarms/Alarms-0037.wav
datasec:DATASEC/Sirens and alarms/Alarms/Alarms-0013.wav,datasec:DATASEC/Sirens and alarms/Alarms/Alarms-0014.wav
datasec:DATASEC/Vehicle idling/car truck idling/car truck idling-0018.wav,datasec:DATASEC/Vehicle idling/car truck idling/car truck idling-0024.wav
datasec:DATASEC/Voices/Voices-1232.wav,datasec:DATASEC/Voices/Voices-1266.wav
datasec:DATASEC/Workshop/grinder/grinder-0029.wav,datasec:DATASEC/Workshop/grinder/grinder-0031.wav
datasec:DATASEC/Workshop/grinder/grinder-0029.wav,datasec:DATASEC/Workshop/grinder/grinder-0032.wav
datasec:DATASEC/Workshop/jackhammer/jackhammer-0013.wav,datasec:DATASEC/Workshop/jackhammer/jackhammer-0056.wav
datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0575.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0576.wav
