pair_id,similarity,overlap_s,pretraining_file_id,benchmark_file_id,pretraining_path,benchmark_path,decision,decided_by,note
rev-011,0.878291,10.5,datasec:DATASEC/Propeller aircrafts/Helicopters/Helicopters-0050.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0594.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Propeller aircrafts\Helicopters\Helicopters-0050.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0594.wav,duplicate,patphh,
rev-012,0.874637,4,datasec:DATASEC/Music/Music-0120.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0606.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0120.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0606.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
rev-013,0.874637,4,datasec:DATASEC/Music/Music-0120.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0622.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0120.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0622.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
rev-014,0.874439,3,datasec:DATASEC/Music/Music-0168.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0606.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0168.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0606.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
rev-015,0.874439,3,datasec:DATASEC/Music/Music-0168.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0622.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0168.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0622.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
rev-016,0.873928,3,datasec:DATASEC/Music/Music-0835.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0606.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0835.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0606.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
rev-017,0.873928,3,datasec:DATASEC/Music/Music-0835.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0622.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0835.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0622.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
rev-018,0.872075,5,datasec:DATASEC/Music/Music-0125.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0606.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0125.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0606.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
rev-019,0.872075,5,datasec:DATASEC/Music/Music-0125.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0622.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0125.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0622.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
rev-020,0.869424,5,datasec:DATASEC/Vacuum cleaner fan and hairdryer/fan/fan-0013.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0323.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Vacuum cleaner fan and hairdryer\fan\fan-0013.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0323.wav,distinct,patphh,"audio thứ nhất là quạt, audio thứ hai là siren"
rev-021,0.868997,25.5,datasec:DATASEC/Wind turbine/Wind turbine-0007.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0717.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Wind turbine\Wind turbine-0007.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0717.wav,duplicate,patphh,vọng âm và xa giống nhau
rev-022,0.866231,30,datasec:DATASEC/Sirens and alarms/Sirens/Sirens-0046.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0237.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Sirens and alarms\Sirens\Sirens-0046.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0237.wav,duplicate,patphh,
rev-023,0.860712,3,datasec:DATASEC/Thunder fireworks and gunshot/Fireworks/Fireworks-0056.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0606.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Thunder fireworks and gunshot\Fireworks\Fireworks-0056.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0606.wav,distinct,patphh,"audio thứ nhất là pháo hoa, audio thứ hai là trực thăng"
rev-024,0.860712,3,datasec:DATASEC/Thunder fireworks and gunshot/Fireworks/Fireworks-0056.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0622.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Thunder fireworks and gunshot\Fireworks\Fireworks-0056.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0622.wav,distinct,patphh,"audio thứ nhất là pháo hoa, audio thứ hai là trực thăng"
rev-025,0.860154,3,datasec:DATASEC/Music/Music-0891.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0606.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0891.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0606.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
rev-026,0.860154,3,datasec:DATASEC/Music/Music-0891.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0622.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0891.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0622.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
rev-027,0.860101,11,datasec:DATASEC/Music/Music-0125.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0661.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0125.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0661.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
rev-028,0.859639,3,datasec:DATASEC/Thunder fireworks and gunshot/Fireworks/Fireworks-0037.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0089.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Thunder fireworks and gunshot\Fireworks\Fireworks-0037.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0089.wav,distinct,patphh,"audio thứ nhất là pháo hoa, audio thứ hai là tiếng người nói chuyện và noise quạt"
rev-029,0.859012,15,datasec:DATASEC/Propeller aircrafts/Helicopters/Helicopters-0058.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0594.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Propeller aircrafts\Helicopters\Helicopters-0058.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0594.wav,duplicate,patphh,
rev-030,0.857685,3,datasec:DATASEC/Workshop/drill/drill-0004.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0323.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Workshop\drill\drill-0004.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0323.wav,distinct,patphh,"audio thứ nhất là tiếng máy móc, audio thứ hai là tiếng gì đó"
rev-031,0.854668,4,datasec:DATASEC/Music/Music-0178.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0606.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0178.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0606.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
rev-032,0.854668,4,datasec:DATASEC/Music/Music-0178.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0622.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0178.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0622.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
rev-033,0.852411,3,datasec:DATASEC/Music/Music-0234.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0606.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0234.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0606.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
rev-034,0.852411,3,datasec:DATASEC/Music/Music-0234.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0622.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Music\Music-0234.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0622.wav,distinct,patphh,"audio thứ nhất là nhạc, audio thứ hai là trực thăng"
rev-035,0.85027,3.5,datasec:DATASEC/Train/Train-0056.wav,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0210.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datasec\extracted\DATASEC\Train\Train-0056.wav,D:\IUH_K18\HK1N5\KLTN2\environmental-audio-rag\data\raw\datased\extracted\DataSED - DataSED - Dataset for Sound Event Detection of environmental noise\SED_wav\S-0210.wav,duplicate,patphh,
